Date,Close,High,Low,Open,SMA,CCI
23/5/17,38.450001,38.724998,38.327499,38.724998,37.6609996,61.86683947
24/5/17,38.334999,38.5425,38.1675,38.459999,37.78174965,40.00016405
25/5/17,38.467499,38.587502,38.2575,38.432499,37.9077497,34.39887703
26/5/17,38.4025,38.560001,38.327499,38.5,38.0322498,23.00243051
30/5/17,38.4175,38.607498,38.3325,38.355,38.1208748,17.47670959
31/5/17,38.189999,38.5425,38.095001,38.4925,38.1864998,4.984566092
1/6/17,38.294998,38.3325,38.055,38.2925,38.26299975,0.758249516
2/6/17,38.862499,38.862499,38.2225,38.395,38.3744997,8.287354691
5/6/17,38.482498,38.612499,38.365002,38.584999,38.4366245,1.243652043
6/6/17,38.612499,38.952499,38.445,38.474998,38.4546245,3.825408082
7/6/17,38.842499,38.994999,38.619999,38.755001,38.4718744,6.497150358
8/6/17,38.747501,38.884998,38.599998,38.8125,38.4934995,4.709178255
9/6/17,37.244999,38.797501,36.505001,38.797501,38.4313745,22.18706165
12/6/17,36.355,36.522499,35.627499,36.435001,38.2978744,86.79108369
13/6/17,36.647499,36.862499,36.287498,36.790001,38.1839994,74.26684925
14/6/17,36.290001,36.875,35.959999,36.875,38.05512445,89.22163226
15/6/17,36.072498,36.119999,35.552502,35.830002,37.98062435,126.8778699
16/6/17,35.567501,36.125,35.549999,35.945,37.8522495,147.4986575
19/6/17,36.584999,36.685001,35.915001,35.915001,37.7682495,99.44316118
20/6/17,36.252499,36.717499,36.235001,36.717499,37.6559994,93.77093276
21/6/17,36.467499,36.517502,36.1525,36.380001,37.5568743,88.80875762
22/6/17,36.407501,36.674999,36.279999,36.442501,37.4604994,76.56048524
23/6/17,36.57,36.790001,36.2775,36.282501,37.36562445,61.95522076
26/6/17,36.455002,37.07,36.345001,36.7925,37.26824955,48.46163045
27/6/17,35.932499,36.540001,35.904999,36.252499,37.1439995,76.36190652
28/6/17,36.4575,36.5275,35.790001,36.122501,37.05737455,58.23594369
29/6/17,35.919998,36.282501,35.57,36.177502,36.93862455,73.65484588
30/6/17,36.005001,36.240002,35.945,36.112499,36.79574965,51.10121662
3/7/17,35.875,36.325001,35.775002,36.220001,36.66537475,44.46750568
5/7/17,36.022499,36.197498,35.68,35.922501,36.53587475,33.12958414
6/7/17,35.682499,35.875,35.602501,35.755001,36.37787475,30.69415324
7/7/17,36.044998,36.1875,35.724998,35.724998,36.2427496,7.315854512
10/7/17,36.264999,36.487499,35.842499,36.0275,36.1937496,0.117243879
11/7/17,36.3825,36.462502,36.095001,36.182499,36.1951246,2.09590404
12/7/17,36.435001,36.544998,36.205002,36.467499,36.1844997,3.616474688
13/7/17,36.942501,37.122501,36.360001,36.375,36.2171247,11.76625032
14/7/17,37.259998,37.3325,36.8325,36.9925,36.2764997,20.43810486
17/7/17,37.389999,37.724998,37.142502,37.205002,36.3676246,29.38147317
